1 , 0 , 172.20.10.1 , 15449
2 , 16509 , 172.26.241.63 , 1500
2 , 16509 , 172.26.242.113 , 1455
2 , 16509 , 172.26.241.133 , 444
2 , 16509 , 172.26.242.53 , 804
2 , 16509 , 172.26.241.113 , 1410
2 , -1 ,  , 1
2 , 16509 , 172.26.242.123 , 714
2 , 16509 , 172.26.241.53 , 552
2 , 16509 , 172.26.242.63 , 6058
2 , 16509 , 172.26.241.123 , 2505
3 , -1 ,  , 116
3 , 16509 , 172.26.236.2 , 15155
4 , 0 , 172.26.96.11 , 3104
4 , -1 ,  , 1
4 , 0 , 172.26.96.10 , 2928
4 , 0 , 172.26.96.3 , 4810
4 , 0 , 172.26.96.2 , 4587
5 , 0 , 172.26.96.193 , 15425
5 , -1 ,  , 4
6 , 0 , 172.16.120.50 , 1500
6 , 0 , 172.16.121.113 , 13908
7 , 7018 , 12.249.2.49 , 13890
7 , 7018 , 12.249.2.53 , 1500
7 , -1 ,  , 1
8 , 7018 , 12.83.180.82 , 13676
8 , 7018 , 12.83.180.85 , 105
8 , -1 ,  , 3
8 , 7018 , 12.83.180.94 , 1395
8 , 7018 , 12.83.180.86 , 210
9 , 7018 , 12.122.86.197 , 310
9 , 7018 , 12.122.114.9 , 245
9 , 7018 , 12.122.110.5 , 8
9 , 7018 , 12.122.110.57 , 56
9 , -1 ,  , 3
9 , 7018 , 12.123.15.161 , 18
9 , 7018 , 12.122.2.42 , 42
9 , 7018 , 12.123.15.250 , 45
9 , 7018 , 12.122.81.201 , 123
9 , 7018 , 12.122.28.58 , 24
9 , 7018 , 12.123.15.165 , 18
9 , 7018 , 12.122.149.137 , 126
9 , 7018 , 12.122.137.53 , 3
9 , 7018 , 12.123.15.169 , 30
9 , 7018 , 12.122.200.13 , 198
9 , 7018 , 12.122.30.145 , 129
9 , 7018 , 12.122.114.89 , 6
9 , 7018 , 12.122.114.17 , 196
9 , 7018 , 12.122.114.29 , 1299
9 , 7018 , 12.122.149.133 , 435
9 , 7018 , 12.122.200.9 , 1703
9 , 7018 , 12.122.86.89 , 510
9 , 7018 , 12.122.28.54 , 54
9 , 7018 , 12.122.114.13 , 245
9 , 7018 , 12.122.31.193 , 45
9 , 7018 , 12.122.3.69 , 135
9 , 7018 , 12.122.30.121 , 18
9 , 7018 , 12.122.86.201 , 45
9 , 7018 , 12.122.4.122 , 1087
9 , 7018 , 12.123.15.110 , 410
9 , 7018 , 12.122.114.5 , 3710
9 , 7018 , 12.122.81.73 , 1293
9 , 7018 , 12.122.1.118 , 790
9 , 7018 , 12.83.180.82 , 105
9 , 7018 , 12.122.3.122 , 1544
9 , 7018 , 12.122.3.70 , 111
9 , 7018 , 12.83.180.94 , 210
9 , 7018 , 12.122.86.121 , 51
10 , 7018 , 12.122.146.81 , 12
10 , 7018 , 12.249.51.146 , 56
10 , 0 , 64.125.12.117 , 452
10 , 7018 , 12.122.137.41 , 47
10 , 0 , 144.232.1.69 , 186
10 , 7018 , 12.123.159.17 , 12
10 , 7018 , 12.123.157.21 , 26
10 , 7018 , 12.122.30.114 , 42
10 , 7018 , 12.122.133.121 , 3
10 , -1 ,  , 478
10 , 7018 , 12.122.146.29 , 3
10 , 0 , 192.205.37.86 , 410
10 , 0 , 192.205.34.154 , 3
10 , 7018 , 12.122.31.190 , 233
10 , 7018 , 12.122.133.197 , 5
10 , 7018 , 12.122.30.126 , 18
10 , 7018 , 12.122.114.21 , 554
10 , 7018 , 12.122.28.58 , 24
10 , 15169 , 209.85.249.3 , 1
10 , 7018 , 12.122.90.33 , 37
10 , 7018 , 12.123.15.237 , 15
10 , 7018 , 12.122.133.81 , 16
10 , 0 , 192.205.37.66 , 42
10 , 7018 , 12.122.110.109 , 213
10 , 0 , 192.205.36.2 , 762
10 , 7018 , 12.122.3.46 , 12
10 , 7018 , 12.122.146.5 , 3
10 , 1299 , 80.91.252.152 , 1
10 , 7018 , 12.122.128.181 , 58
10 , 7018 , 12.122.136.37 , 3
10 , 0 , 192.205.32.50 , 75
10 , 7018 , 12.122.30.142 , 103
10 , 0 , 192.205.37.186 , 3
10 , 0 , 192.205.37.190 , 308
10 , 7018 , 12.122.85.85 , 134
10 , 7018 , 12.123.15.241 , 15
10 , 0 , 192.205.37.58 , 1425
10 , 7018 , 12.122.137.37 , 32
10 , 7018 , 12.122.133.234 , 44
10 , 7018 , 12.123.30.17 , 27
10 , 7018 , 12.122.31.193 , 146
10 , 0 , 192.205.33.98 , 967
10 , 7018 , 12.122.85.81 , 126
10 , 7018 , 12.122.114.73 , 6
10 , 7018 , 12.122.144.17 , 3
10 , 0 , 192.205.33.50 , 216
10 , 3549 , 208.51.134.1 , 70
10 , 7018 , 12.122.18.22 , 390
10 , 7018 , 12.122.30.145 , 57
10 , 7018 , 12.122.90.29 , 51
10 , 7018 , 12.122.110.21 , 15
10 , 0 , 192.205.36.234 , 71
10 , 0 , 192.205.37.2 , 214
10 , 0 , 192.205.32.210 , 1032
10 , 7018 , 12.122.137.117 , 15
10 , 7018 , 12.122.104.13 , 388
10 , 7018 , 12.123.30.109 , 9
10 , 3549 , 208.178.58.185 , 73
10 , 7018 , 12.123.7.109 , 132
10 , 7018 , 12.122.251.126 , 6
10 , 0 , 192.205.33.46 , 211
10 , 7018 , 12.122.137.113 , 39
10 , 7018 , 12.122.4.122 , 99
10 , 7018 , 12.122.80.77 , 6
10 , 7018 , 12.91.205.18 , 8
10 , 3257 , 77.67.78.93 , 24
10 , 7018 , 12.122.1.118 , 84
10 , 7018 , 12.122.28.61 , 21
10 , 7018 , 12.122.2.218 , 3
10 , 7018 , 12.250.30.18 , 3
10 , 7018 , 12.122.146.77 , 18
10 , 7018 , 12.122.2.166 , 419
10 , 7018 , 12.122.80.29 , 3
10 , 7018 , 12.123.30.5 , 178
10 , 7018 , 12.122.2.42 , 17
10 , 0 , 192.205.32.46 , 70
10 , 7018 , 12.123.132.130 , 141
10 , 7018 , 12.122.2.206 , 212
10 , 7018 , 12.122.28.54 , 134
10 , 7018 , 12.122.2.54 , 241
10 , 7018 , 12.122.136.113 , 6
10 , 0 , 192.205.33.38 , 211
10 , 7018 , 12.122.31.22 , 39
10 , 7018 , 12.123.46.5 , 9
10 , 174 , 154.54.11.45 , 552
11 , 13385 , 216.221.156.66 , 3
11 , 3356 , 4.69.152.126 , 824
11 , 7018 , 12.123.206.193 , 3
11 , 1226 , 205.225.130.194 , 26
11 , -1 ,  , 131
11 , 7922 , 68.86.88.109 , 30
11 , 3257 , 141.136.111.238 , 1
11 , 6453 , 209.58.116.86 , 15
11 , 26415 , 199.16.95.150 , 3
11 , 7018 , 12.122.114.21 , 57
11 , 209 , 205.171.155.34 , 3
11 , 7018 , 12.249.231.26 , 14
11 , 3356 , 4.69.152.4 , 10
11 , 15239 , 64.208.170.138 , 3
11 , 3356 , 4.69.152.203 , 2
11 , 209 , 205.171.12.146 , 32
11 , 7018 , 12.122.110.109 , 25
11 , 0 , 204.255.168.133 , 152
11 , 7018 , 12.122.251.138 , 5
11 , 3356 , 4.69.152.70 , 7
11 , 1299 , 80.91.254.176 , 14
11 , 7018 , 12.122.2.54 , 21
11 , 7922 , 68.86.87.149 , 3
11 , 1221 , 64.208.241.65 , 3
11 , 7018 , 12.122.146.25 , 26
11 , 0 , 192.205.35.162 , 167
11 , 3549 , 208.50.81.155 , 3
11 , 0 , 206.28.98.69 , 9
11 , 22566 , 67.17.73.81 , 30
11 , 3549 , 64.211.162.153 , 3
11 , 22566 , 67.17.192.142 , 12
11 , 7018 , 12.122.30.150 , 66
11 , 3257 , 89.149.180.21 , 6
11 , 6453 , 209.58.116.126 , 13
11 , 7018 , 12.122.18.22 , 45
11 , 1299 , 213.248.70.190 , 253
11 , 7018 , 12.123.158.133 , 15
11 , 3356 , 4.69.152.84 , 21
11 , 7018 , 12.122.146.81 , 18
11 , 3257 , 141.136.110.14 , 2
11 , 7018 , 12.122.148.13 , 6
11 , 3356 , 4.69.152.62 , 858
11 , 7018 , 12.123.7.109 , 12
11 , 3549 , 64.210.31.162 , 17
11 , 3549 , 64.208.126.105 , 3
11 , 3356 , 4.79.238.18 , 15
11 , 3257 , 89.149.182.134 , 1
11 , 7018 , 12.249.203.10 , 14
11 , 3356 , 4.69.152.148 , 15
11 , 3356 , 4.69.152.198 , 7
11 , 7922 , 68.86.87.9 , 36
11 , 0 , 204.70.198.141 , 2
11 , 209 , 205.171.213.178 , 50
11 , 3549 , 206.41.25.162 , 6
11 , 174 , 66.28.4.54 , 2
11 , 7018 , 12.122.2.206 , 12
11 , 3257 , 89.149.186.186 , 2
